"","subregion","year","regional_ave"
"1","Eastern Africa",1972,26.1623413173716
"2","Eastern Africa",1973,64.0552734274114
"3","Eastern Africa",1974,41.9503865477451
"4","Eastern Africa",1975,43.7400796964706
"5","Eastern Africa",1976,45.3012052574044
"6","Eastern Africa",1977,42.6129060959914
"7","Eastern Africa",1978,47.9088096583825
"8","Eastern Africa",1979,53.6837540201176
"9","Eastern Africa",1980,42.0919953216511
"10","Eastern Africa",1981,45.0922733504737
"11","Eastern Africa",1982,41.5365743675614
"12","Eastern Africa",1983,38.4289829531462
"13","Eastern Africa",1984,27.1454776810618
"14","Eastern Africa",1985,48.4501140435982
"15","Eastern Africa",1986,36.4723054744193
"16","Eastern Africa",1987,54.5704643878659
"17","Eastern Africa",1988,48.5274074509571
"18","Eastern Africa",1989,53.3832150171532
"19","Eastern Africa",1990,48.6433443746088
"20","Eastern Africa",1991,53.5909017208109
"21","Eastern Africa",1992,59.4604526432388
"22","Eastern Africa",1993,54.5677284603777
"23","Eastern Africa",1994,55.0301935008064
"24","Eastern Africa",1995,53.4889133982678
"25","Eastern Africa",1996,58.4134474351755
"26","Eastern Africa",1997,57.8047092817916
"27","Eastern Africa",1998,45.4699396573788
"28","Eastern Africa",1999,40.7298371887073
"29","Eastern Africa",2000,42.7130516807287
"30","Eastern Africa",2001,40.0869362947687
"31","Eastern Africa",2002,34.4562404001563
"32","Eastern Africa",2003,30.2347909747877
"33","Eastern Africa",2004,28.1787498198014
"34","Eastern Africa",2005,23.5098988815905
"35","Eastern Africa",2006,24.1799748364238
"36","Eastern Africa",2007,21.2269323927993
"37","Eastern Africa",2008,18.9636919502562
"38","Eastern Africa",2009,18.6887596731437
"39","Eastern Africa",2010,18.8452576782604
"40","Eastern Africa",2011,27.0090201381343
"41","Eastern Africa",2012,18.3122837456136
"42","Eastern Africa",2013,19.0121508960752
"43","Eastern Africa",2014,21.3765818305217
"44","Eastern Africa",2015,32.8469398043086
"45","Eastern Africa",2016,15.6087284576939
"46","Eastern Africa",2017,22.1939228115443
"47","Middle Africa",1971,42.5653538808605
"48","Middle Africa",1972,41.9162074110979
"49","Middle Africa",1973,41.7822478972404
"50","Middle Africa",1974,40.46152115
"51","Middle Africa",1975,37.4017806426601
"52","Middle Africa",1976,32.30718994
"53","Middle Africa",1977,51.4538880580415
"54","Middle Africa",1978,40.5480628739466
"55","Middle Africa",1979,31.28449059
"56","Middle Africa",1980,31.04322052
"57","Middle Africa",1981,44.75201035
"58","Middle Africa",1982,50.0520652936858
"59","Middle Africa",1983,50.8409065512991
"60","Middle Africa",1986,38.96755981
"61","Middle Africa",1987,49.37300873
"62","Middle Africa",1988,46.562556635544
"63","Middle Africa",1989,51.6171608
"64","Middle Africa",1990,34.0608484227003
"65","Middle Africa",1991,37.1205204612463
"66","Middle Africa",1994,36.69057846
"67","Middle Africa",1996,62.63360977
"68","Middle Africa",1997,33.868800460306
"69","Middle Africa",1998,53.6366312899364
"70","Middle Africa",1999,50.20003891
"71","Middle Africa",2000,46.0277611924022
"72","Middle Africa",2001,43.7902896551955
"73","Middle Africa",2002,41.3831673582123
"74","Middle Africa",2003,40.5232619690503
"75","Middle Africa",2005,52.23205948
"76","Middle Africa",2006,51.78942108
"77","Middle Africa",2007,43.78429031
"78","Middle Africa",2008,26.0245640667563
"79","Middle Africa",2009,25.3604475319555
"80","Middle Africa",2010,30.9001766113032
"81","Middle Africa",2011,26.4815557537226
"82","Middle Africa",2012,21.386642829919
"83","Middle Africa",2014,5.202819824
"84","Middle Africa",2015,55.79605865
"85","Middle Africa",2016,4.725979805
"86","Middle Africa",2017,4.799510002
"87","Northern Africa",1971,39.514125775141
"88","Northern Africa",1972,40.3172817319134
"89","Northern Africa",1973,36.9296279984607
"90","Northern Africa",1974,19.7884464644828
"91","Northern Africa",1975,31.6116894036918
"92","Northern Africa",1976,30.7680418932778
"93","Northern Africa",1977,28.728015241749
"94","Northern Africa",1978,28.2263515352909
"95","Northern Africa",1979,31.1741687339915
"96","Northern Africa",1980,23.6394459475109
"97","Northern Africa",1981,22.4805529928492
"98","Northern Africa",1982,27.2465155376201
"99","Northern Africa",1983,20.8158586802814
"100","Northern Africa",1984,24.0503057918271
"101","Northern Africa",1985,24.2726776493212
"102","Northern Africa",1986,24.3610143074536
"103","Northern Africa",1987,24.5159350646766
"104","Northern Africa",1988,24.6753827125848
"105","Northern Africa",1989,24.9734429221708
"106","Northern Africa",1990,24.4987988862284
"107","Northern Africa",1991,23.7343624046553
"108","Northern Africa",1992,23.0178861995688
"109","Northern Africa",1993,22.2194711899658
"110","Northern Africa",1994,19.9121506663513
"111","Northern Africa",1995,19.9890453201558
"112","Northern Africa",1996,19.47340170381
"113","Northern Africa",1997,18.2305581453798
"114","Northern Africa",1998,33.46157837
"115","Northern Africa",1999,16.4319681658101
"116","Northern Africa",2000,14.063542072716
"117","Northern Africa",2001,11.5609486089697
"118","Northern Africa",2002,9.19407307750756
"119","Northern Africa",2003,8.19444428528908
"120","Northern Africa",2004,7.47903088364034
"121","Northern Africa",2005,7.06305399519412
"122","Northern Africa",2006,6.99565192588655
"123","Northern Africa",2007,5.50826440680168
"124","Northern Africa",2008,5.36729717611313
"125","Northern Africa",2009,4.10430418750252
"126","Northern Africa",2010,2.91258129133529
"127","Northern Africa",2011,13.6535865286756
"128","Northern Africa",2012,14.2316343092682
"129","Northern Africa",2013,21.7297298949471
"130","Northern Africa",2014,21.1711009116114
"131","Northern Africa",2015,23.3216251268181
"132","Northern Africa",2016,14.2707180652957
"133","Northern Africa",2017,1.72131556963247
"134","Southern Africa",1970,42.0456096097162
"135","Southern Africa",1971,55.4283346029866
"136","Southern Africa",1972,54.0972706202349
"137","Southern Africa",1973,51.4686429086913
"138","Southern Africa",1974,46.2662288724832
"139","Southern Africa",1975,43.81264114
"140","Southern Africa",1976,37.9202105515436
"141","Southern Africa",1977,34.500298815
"142","Southern Africa",1978,35.3725095881544
"143","Southern Africa",1979,33.7437322255034
"144","Southern Africa",1980,30.4629434155034
"145","Southern Africa",1981,27.2140242711745
"146","Southern Africa",1982,33.17670059
"147","Southern Africa",1983,23.3751905892282
"148","Southern Africa",1984,22.8654991466779
"149","Southern Africa",1985,20.7986080880537
"150","Southern Africa",1986,19.8950902080201
"151","Southern Africa",1987,18.7673910224497
"152","Southern Africa",1988,18.0758484324497
"153","Southern Africa",1989,19.1860109153846
"154","Southern Africa",1990,19.4744053057036
"155","Southern Africa",1991,14.522813350473
"156","Southern Africa",1992,17.0920437466979
"157","Southern Africa",1993,17.7980026678523
"158","Southern Africa",1994,12.765475158601
"159","Southern Africa",1995,13.9411645256021
"160","Southern Africa",1996,19.1945775927392
"161","Southern Africa",1997,14.19178009
"162","Southern Africa",1998,12.7422223162421
"163","Southern Africa",1999,12.6969717496923
"164","Southern Africa",2000,11.3436036411774
"165","Southern Africa",2001,10.7750970838995
"166","Southern Africa",2002,10.3839100866482
"167","Southern Africa",2003,10.3547482907836
"168","Southern Africa",2004,11.0601568551897
"169","Southern Africa",2005,11.9409057498338
"170","Southern Africa",2006,15.0648453030206
"171","Southern Africa",2007,14.6736937053659
"172","Southern Africa",2008,15.0450008077674
"173","Southern Africa",2009,14.7313764341651
"174","Southern Africa",2010,15.2664124207372
"175","Southern Africa",2011,19.63422012
"176","Southern Africa",2012,10.7111598667205
"177","Southern Africa",2013,9.80076842503377
"178","Southern Africa",2014,12.8998465860067
"179","Southern Africa",2015,10.1393364742929
"180","Southern Africa",2016,19.48797989
"181","Southern Africa",2017,6.1930896424359
"182","Western Africa",1971,79.4206395804264
"183","Western Africa",1972,78.8717507558742
